S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2020,State,Andhra Pradesh,853,137,111,1298,6,1175,737,1095,141,431,237,39,405,6665
2,2020,State,Arunachal Pradesh,45,4,0,37,0,106,78,60,2,10,48,7,17,414
3,2020,State,Assam,1131,45,148,1316,5,10671,6934,1657,485,829,1577,198,633,25629
4,2020,State,Bihar,3150,94,1046,11784,1367,13170,7889,806,69,9422,1902,222,195,51116
5,2020,State,Chhattisgarh,972,41,71,720,2,1022,2008,1210,118,1019,458,85,290,8016
6,2020,State,Goa,34,3,0,24,0,76,45,60,0,40,13,2,18,315
7,2020,State,Gujarat,982,115,6,933,34,2621,1198,486,3,1083,498,138,214,8311
8,2020,State,Haryana,1143,52,251,1002,51,1535,2949,1373,215,2467,657,151,270,12116
9,2020,State,Himachal Pradesh,91,10,1,70,1,478,343,331,3,410,8,2,68,1816
10,2020,State,Jammu & Kashmir,149,32,9,490,0,57,868,245,10,783,70,5,105,2823
11,2020,State,Jharkhand,1592,37,275,2833,1,2736,1564,1321,188,2707,652,119,157,14182
12,2020,State,Karnataka,1331,72,176,2568,24,1311,2253,504,11,4553,1354,194,262,14613
13,2020,State,Kerala,306,84,6,610,1820,1910,307,637,59,3520,610,69,317,10255
14,2020,State,Madhya Pradesh,2101,164,608,1857,71,5803,7320,2339,35,1240,994,65,669,23266
15,2020,State,Maharashtra,2163,231,197,3251,14,7310,8103,2061,3,9157,5054,473,1123,39140
16,2020,State,Manipur,46,1,1,109,0,147,81,32,5,60,3,0,21,506
17,2020,State,Meghalaya,79,6,1,58,0,91,91,67,19,2,54,23,39,530
18,2020,State,Mizoram,28,6,0,10,2,46,3,33,1,1,8,1,22,161
19,2020,State,Nagaland,25,4,1,24,0,17,24,4,0,0,23,0,1,123
20,2020,State,Odisha,1470,4,320,4135,0,854,4179,1211,144,2059,2162,307,428,17273
21,2020,State,Punjab,757,135,63,961,83,1858,1399,502,53,0,102,39,87,6039
22,2020,State,Rajasthan,1719,96,479,2062,661,805,6234,5310,965,342,1155,76,459,20363
23,2020,State,Sikkim,11,2,0,7,0,38,32,12,1,1,4,0,13,121
24,2020,State,Tamil Nadu,1661,72,40,2548,11,741,765,389,15,2122,2023,128,463,10978
25,2020,State,Telangana,802,244,158,1240,10,1263,2056,764,35,771,349,32,464,8188
26,2020,State,Tripura,114,1,23,117,0,944,127,79,13,83,4,3,49,1557
27,2020,State,Uttar Pradesh,3779,1439,2274,4210,1994,14138,12913,2769,251,6126,1633,120,330,51976
28,2020,State,Uttarakhand,160,29,65,186,7,79,768,487,12,676,128,6,9,2612
29,2020,State,West Bengal,1948,284,522,12725,2442,19097,9309,1128,872,933,318,53,397,50028
30,2020,Union Territories,Andaman and Nicobar Islands,5,1,0,8,5,32,7,2,1,1,0,1,0,63
31,2020,Union Territories,Chandigarh,22,5,1,35,2,26,118,60,3,31,23,1,5,332
32,2020,Union Territories,D&N Haveli,6,1,0,0,3,4,12,1,0,2,3,1,4,37
33,2020,Union Territories,Daman & Diu,7,1,1,2,3,4,9,3,0,3,4,1,2,40
34,2020,Union Territories,Ladakh,0,0,0,3,0,0,0,2,0,1,0,0,0,6
35,2020,Union Territories,Delhi,472,58,110,570,573,411,4062,997,9,689,1963,9,70,9993
36,2020,Union Territories,Lakshadweep,0,0,0,0,1,0,1,3,0,0,0,0,0,5
37,2020,Union Territories,Puducherry,39,2,2,31,3,51,19,8,0,33,16,3,9,216
Total All India,2020,Total All India,Total All India,29193,3512,6966,57831,9196,90627,84805,28046,3741,51606,24107,2573,7615,399818
