S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2016,State,Andhra Pradesh,1123,83,193,1795,0,604,917,994,190,657,315,62,519,7452
2,2016,State,Arunachal Pradesh,46,6,1,46,0,235,112,92,15,8,63,10,31,665
3,2016,State,Assam,1149,34,157,1257,17,9844,6126,1779,370,1671,940,154,664,24162
4,2016,State,Bihar,2581,150,987,6998,1364,12040,7324,1008,321,11617,1410,342,472,46614
5,2016,State,Chhattisgarh,957,37,84,690,1,786,2071,1626,20,652,379,58,341,7702
6,2016,State,Goa,30,12,2,18,0,85,106,61,0,117,14,7,17,469
7,2016,State,Gujarat,1120,73,12,986,6,2481,2784,982,5,1659,1155,319,242,11824
8,2016,State,Haryana,1057,42,260,889,6,2052,3932,1187,137,2844,734,176,1070,14386
9,2016,State,Himachal Pradesh,101,3,3,66,1,371,290,252,3,395,11,2,94,1592
10,2016,State,Jammu & Kashmir,142,22,6,574,0,184,810,256,17,3410,59,6,268,5754
11,2016,State,Jharkhand,1514,31,278,885,6,1364,1309,1109,179,1721,551,199,143,9289
12,2016,State,Karnataka,1573,77,234,2607,74,1272,2916,1655,16,6263,2157,327,471,19642
13,2016,State,Kerala,305,132,25,622,2008,1895,241,1656,42,5089,908,71,554,13548
14,2016,State,Madhya Pradesh,2004,136,629,2178,76,5403,7123,4882,63,1665,1602,117,800,26678
15,2016,State,Maharashtra,2299,184,248,2619,3,7645,9333,4189,12,7898,6030,644,1338,42442
16,2016,State,Manipur,78,4,0,211,2,219,145,55,3,119,15,1,59,911
17,2016,State,Meghalaya,108,5,0,83,0,113,156,190,15,1,87,26,29,813
18,2016,State,Mizoram,29,8,0,17,0,118,6,23,0,3,4,6,27,241
19,2016,State,Nagaland,36,14,1,50,0,37,91,26,3,7,32,2,3,302
20,2016,State,Odisha,1328,16,397,2778,0,4476,3046,1983,161,1914,2012,455,524,19090
21,2016,State,Punjab,771,120,80,862,59,2213,1591,838,95,0,147,42,78,6896
22,2016,State,Rajasthan,1551,81,462,1632,133,1335,5299,3656,340,293,970,63,370,16185
23,2016,State,Sikkim,17,1,0,17,0,40,12,92,2,12,5,0,17,215
24,2016,State,Tamil Nadu,1603,36,58,2666,4,612,1223,319,17,2002,1680,109,513,10842
25,2016,State,Telangana,1046,137,254,1050,5,1187,1302,1278,44,511,671,62,451,7998
26,2016,State,Tripura,145,2,19,58,0,925,139,207,16,78,22,1,34,1646
27,2016,State,Uttar Pradesh,4889,1272,2473,5109,1849,12624,15898,4816,1958,8018,4502,272,1325,65005
28,2016,State,Uttarakhand,194,29,57,212,2,65,790,336,6,481,128,17,9,2326
29,2016,State,West Bengal,2044,392,535,11973,1058,18119,6045,1110,1646,2691,472,112,523,46720
30,2016,Union Territory,A & N Islands,14,1,0,15,2,27,26,30,0,8,5,0,9,137
31,2016,Union Territory,Chandigarh,26,6,4,40,4,41,180,68,4,40,54,5,8,480
32,2016,Union Territory,D&N Haveli,5,0,0,2,0,13,10,14,0,9,1,3,2,59
33,2016,Union Territory,Daman & Diu,4,1,0,3,2,10,21,12,0,9,2,1,2,67
34,2016,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016,Union Territory,Delhi,528,54,162,646,845,529,6619,2155,29,79,4761,43,183,16633
36,2016,Union Territory,Lakshadweep,0,0,0,1,0,0,0,5,0,0,0,0,5,11
37,2016,Union Territory,Puducherry,33,2,0,12,0,75,15,6,0,33,8,2,1,187
Total (All-India),2016,Total All India,Total (All-India),30450,3203,7621,49667,7527,89039,88008,38947,5729,61974,31906,3716,11196,428983
