S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2022,State,Andhra Pradesh,1123,83,193,1795,0,604,917,994,190,657,315,63,519,7453
2,2022,State,Arunachal Pradesh,46,6,1,46,0,235,112,92,15,8,63,10,31,665
3,2022,State,Assam,1149,34,157,1257,17,9844,6126,1779,370,1671,940,156,664,24164
4,2022,State,Bihar,2581,150,987,6998,1364,12040,7324,1008,321,11617,1410,349,472,46621
5,2022,State,Chhattisgarh,957,37,84,690,1,786,2071,1626,20,652,379,60,341,7704
6,2022,State,Goa,30,12,2,18,0,85,106,61,0,117,14,7,17,469
7,2022,State,Gujarat,1120,73,12,986,6,2481,2784,982,5,1659,1155,323,242,11828
8,2022,State,Haryana,1057,42,260,889,6,2052,3932,1187,137,2844,734,177,1070,14387
9,2022,State,Himachal Pradesh,101,3,3,66,1,371,290,252,3,395,11,3,94,1593
10,2022,State,Jammu & Kashmir,137,21,6,571,0,184,802,251,17,3403,55,6,267,5720
11,2022,State,Jharkhand,1514,31,278,885,6,1364,1309,1109,179,1721,551,210,143,9300
12,2022,State,Karnataka,1573,77,234,2607,74,1272,2916,1655,16,6263,2157,329,471,19644
13,2022,State,Kerala,305,132,25,622,2008,1895,241,1656,42,5089,908,71,554,13548
14,2022,State,Madhya Pradesh,2004,136,629,2178,76,5403,7123,4882,63,1665,1602,125,800,26686
15,2022,State,Maharashtra,2299,184,248,2619,3,7645,9333,4189,12,7898,6030,656,1338,42454
16,2022,State,Manipur,78,4,0,211,2,219,145,55,3,119,15,1,59,911
17,2022,State,Meghalaya,108,5,0,83,0,113,156,190,15,1,87,31,29,818
18,2022,State,Mizoram,29,8,0,17,0,118,6,23,0,3,4,6,27,241
19,2022,State,Nagaland,36,14,1,50,0,37,91,26,3,7,32,2,3,302
20,2022,State,Odisha,1328,16,397,2778,0,4476,3046,1983,161,1914,2012,456,524,19091
21,2022,State,Punjab,771,120,80,862,59,2213,1591,838,95,0,147,43,78,6897
22,2022,State,Rajasthan,1551,81,462,1632,133,1335,5299,3656,340,293,970,66,370,16188
23,2022,State,Sikkim,17,1,0,17,0,40,12,92,2,12,5,0,17,215
24,2022,State,Tamil Nadu,1603,36,58,2666,4,612,1223,319,17,2002,1680,109,513,10842
25,2022,State,Telangana,1046,137,254,1050,5,1187,1302,1278,44,511,671,62,451,7998
26,2022,State,Tripura,145,2,19,58,0,925,139,207,16,78,22,1,34,1646
27,2022,State,Uttar Pradesh,4889,1272,2473,5109,1849,12624,15898,4816,1958,8018,4502,284,1325,65017
28,2022,State,Uttarakhand,194,29,57,212,2,65,790,336,6,481,128,17,9,2326
29,2022,State,West Bengal,2044,392,535,11973,1058,18119,6045,1110,1646,2691,472,115,523,46723
30,2022,Union Territory,A & N Islands,14,1,0,15,2,27,26,30,0,8,5,0,9,137
31,2022,Union Territory,Chandigarh,26,6,4,40,4,41,180,68,4,40,54,5,8,480
32,2022,Union Territory,D&N Haveli,5,0,0,2,0,13,10,14,0,9,1,3,2,59
33,2022,Union Territory,Daman & Diu,4,1,0,3,2,10,21,12,0,9,2,1,2,67
34,2022,Union Territory,Ladakh,5,1,0,3,0,0,8,5,0,7,4,0,1,34
35,2022,Union Territory,Delhi,528,54,162,646,845,529,6619,2155,29,79,4761,46,183,16636
36,2022,Union Territory,Lakshadweep,0,0,0,1,0,0,0,5,0,0,0,0,5,11
37,2022,Union Territory,Puducherry,33,2,0,12,0,75,15,6,0,33,8,2,1,187
Total (All-India),2022,Union Territory,Total (All-India),30450,3203,7621,49667,7527,89039,88008,38947,5729,61974,31906,3795,11196,429062
