S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2018,State,Andhra Pradesh,935,266,140,1827,8,1482,1055,971,191,561,252,51,468,8207
2,2018,State,Arunachal Pradesh,62,8,0,41,1,183,135,67,11,20,63,5,26,622
3,2018,State,Assam,1241,34,173,1443,1,11954,8966,1648,527,1158,1501,156,615,29417
4,2018,State,Bihar,2934,110,1107,7196,598,9079,9935,651,110,10276,1731,280,399,44406
5,2018,State,Chhattisgarh,917,36,79,685,1,861,2443,2091,27,665,420,84,348,8657
6,2018,State,Goa,29,4,0,28,0,92,105,61,0,93,18,3,19,452
7,2018,State,Gujarat,1072,78,9,1276,21,2333,1996,553,4,1898,1483,334,278,11335
8,2018,State,Haryana,1104,46,216,984,10,1505,5015,1296,176,2683,502,194,275,14006
9,2018,State,Himachal Pradesh,99,7,4,58,0,345,475,344,11,404,9,1,104,1861
10,2018,State,Jammu & Kashmir,181,24,8,438,0,111,1137,320,23,1430,83,9,192,3956
11,2018,State,Jharkhand,1712,63,252,1901,1,1948,1741,1090,251,1782,557,152,167,11617
12,2018,State,Karnataka,1334,86,200,2638,28,2444,3027,492,10,4747,2024,246,338,17614
13,2018,State,Kerala,292,90,17,672,2210,2035,297,1945,58,4236,867,71,341,13131
14,2018,State,Madhya Pradesh,1879,131,547,1785,146,4976,8596,5433,73,1347,1361,91,721,27086
15,2018,State,Maharashtra,2199,324,200,3162,40,7185,11443,2142,4,9473,7430,769,1312,45683
16,2018,State,Manipur,52,5,0,131,0,158,142,52,6,79,6,0,27,658
17,2018,State,Meghalaya,95,9,1,50,0,101,148,87,22,5,56,27,59,660
18,2018,State,Mizoram,27,3,0,9,1,46,3,50,0,0,5,1,14,159
19,2018,State,Nagaland,31,2,0,40,0,25,90,10,0,10,17,3,5,233
20,2018,State,Odisha,1378,7,372,3070,280,519,3972,918,156,2123,2125,480,555,15955
21,2018,State,Punjab,684,164,67,824,57,1580,1599,831,79,0,131,47,80,6143
22,2018,State,Rajasthan,1508,77,404,1659,440,1254,5809,4335,620,392,1022,75,438,18033
23,2018,State,Sikkim,12,3,1,12,0,35,74,16,1,3,8,0,13,178
24,2018,State,Tamil Nadu,1569,55,55,2571,0,892,1097,331,13,2240,2295,100,434,11652
25,2018,State,Telangana,786,153,186,1143,10,1127,1810,606,38,643,576,52,512,7642
26,2018,State,Tripura,137,2,18,180,0,1413,166,97,33,256,25,10,119,2456
27,2018,State,Uttar Pradesh,4018,1351,2444,4834,1527,11639,21711,3946,661,8908,3218,144,726,65127
28,2018,State,Uttarakhand,211,42,63,163,5,147,1177,561,19,549,180,10,10,3137
29,2018,State,West Bengal,1933,367,444,12062,1880,17969,5191,1069,944,1728,291,56,511,44445
30,2018,Union Territory,A&N Islands,11,3,0,8,4,34,37,30,0,6,2,4,4,143
31,2018,Union Territory,Chandigarh,20,3,6,46,3,24,209,86,9,54,58,5,14,537
32,2018,Union Territory,D&N Haveli,7,2,0,3,0,9,6,7,0,5,1,3,1,44
33,2018,Union Territory,Daman & Diu,5,2,0,5,4,7,30,3,0,2,3,0,1,62
34,2018,Union Territory,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018,Union Territory,Delhi,513,77,153,529,709,545,6063,1215,11,23,2444,25,126,12433
36,2018,Union Territory,Lakshadweep,1,0,0,0,0,1,0,2,0,2,0,0,0,6
37,2018,Union Territory,Puducherry,29,1,0,16,2,17,34,0,9,27,58,4,0,197
Total All India,2018,Total All India,Total All India,29017,3635,7166,51489,7987,84075,105734,33356,4097,57828,30822,3492,9252,427950
